question,answer,prediction
When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823","December 2, 1823"
Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,Elizabeth Kortright
What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,Discussion of his religious beliefs.
What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. ",No treaty was ratified.
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,Washington
"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party,Federalist Party
Is it true that he practiced law in fredericksburg?,yes,No.
What did James Monroe make in 1817?,two long tours,He became the fifth President of the United States.
Was Monroe anticlerical?,no,No.
Was Monroe appointed Minister to France from 1794 to 1796?,yes,Yes.
What expired on March?,Monroe's presidency,None
Had Monroe racked up many debts during his years of public life ?,yes,Yes.
Who dismantled partisan and sectional coalitions ?,many congressmen,Adams
What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia,No information provided.
What happened in the election of 1816?,Monroe was elected president,No information provided.
Who died in childbirth in 1772?,Margaret Miller,No
Who died in 1832?,Margaret Miller.,No one
"Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?",Yes.,Yes.
"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",Yes.,Yes.
Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?,Yes.,Yes.
"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.",He began making improvements to his instrument-making business.
Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.,Yes.
Did John Adams represent the Continental Congress in Europe?,Yes.,Yes.
Was Adams raised Congregationalist?,Yes.,Yes.
Was Adams an opponent of the Stamp Act?,Yes.,Yes.
When did Adams graduate from college?,1755.,1880
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.","Thomas Jefferson, Benjamin Franklin, Robert R. Livingston, and Roger Sherman"
What did Jefferson call John Adams?,"The ""Colossus of Independence"".",Friend
What was Adams' political party?,The Federalist Party.,Federalist Party
Was Adams the first to introduce a bicameral legislature?,Yes.,No.
Did John Adams get along with Alexander Hamilton?,No.,No
Did John Adams go to Harvard? ,yes,Yes.
Did John Adams support the Stamp Act of 1765?,No,No.
Is Adams' birthplace part of a national park?,yes,Yes.
When did John Adams serve as Vice President?,1789-1797,1789-1797
With what party did Adams run for presidency?,The Federalist Party,Federalist Party
Where is Adams buried?,United First Parish Church,United First Parish Church
Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",Adams' appointees
In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams,Sabotaged Adams' campaign
What information did he record in his diary?,Descriptions of events and ompressions of men,Experiments and travels
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams,John Adams
Who represented the Continental Congress in Europe?,John Adams,John Adams
What is now part of Adams National Historical Park?,John Adams' birthplace,"Quincy, Massachusetts"
Is it true that adams had spent some time as the ambassador?,yes,Yes.
Is it true that massachuS08_setts sent him in 1774?,yes,Yes.
Who did MassachuS08_setts send in 1774?,John Adams,John Adams
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes,Yes.
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes","Adams's personal collection of more than 3,500 volumes in eight languages."
Adams ' opponents were what?,Democratic Republicans,Thomas Jefferson and Aaron Burr
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.,No
What happened in 1764?,Adams married Abigail Smith,No event mentioned in the context.
Is a kangaroo a reptile?,no,No.
Is a kangaroo on the Australian coat of arms?,yes,Yes.
"Was James Cook the first to record the name ""Kangooroo?""",yes,Yes.
What is a collective noun for kangaroos?,"mob, troop, or court","A mob, troop, or court."
Where do joeys complete postnatal development?,marsupium,In the mother's pouch.
"What do kangaroos use for ""crawl-walking?""",its hind feet,Their tail
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,The lower incisors are farther apart.
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,Bacteria
Are wild kangaroos shot for meat?,yes,Yes.
Have kangaroos fared well since European S08_settlement?,yes,Yes.
Do kangaroos have many natural predators?,no,No
What is the average life expectancy of a kangaroo?,4.6 years,About 4 6 years
When did the first official report of kangaroo blindness take place?,1994,1994
What are vehicles that frequent isolated roads often fitted with?,roo bars,Roo bars
Do kangaroos eat plants?,yes,Yes.
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi","Thylacine, Marsupial Lion, Megalania, Wonambi"
Is a Kangaroo a Marsupial?,Yes,Yes.
Is the kangaroo an herbivour?,Yes,Yes.
Are Kangaroos Shy?,Yes,Yes.
What method of locomotion do Kangaroos Use?,hopping,Hopping
What is a collective noun for a kangaroo?,"a mob, troop, or court","Mob, troop, or court"
What is a roo?,a kangaroo,A roo is a colloquial term for a kangaroo.
What is used to protect a vehicale from a Kangaroo?,roo bars,"""kangaroo crossing"" signs"
What method is used by Kangaroos to travel?,hopping,Hopping
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook
What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo","Red Kangaroo, Antilopine Kangaroo, Eastern Grey Kangaroo, Western Grey Kangaroo"
Are kangaroos and wallabies adept swimmers?,yes,Yes.
Are kangaroos farmed to any extent?,No.,No
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,Veterinarians
Different species of kangaroos eat what?,different diets,Different diets
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes,Yes.
Is a collision with a vehicle capable of killing a kangaroo ?,yes,Yes.
Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,yes,Yes.
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes,Yes
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes,Yes
What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.,Changes wrought to the Australian landscape by humans
Have larger kangaroos adapted much better to changes?,yes,Yes.
Is the leopard smaller than the other members of Panthera?,yes,No.
Is a leopard larger and less lanky than a cheetah?,yes,Yes.
Are large pythons potential prey for leopards?,yes,Yes.
What may a leopard be mistaken for?,A cheetah or a jaguar,Cheetah or jaguar
What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard,Pumapard
Where do leopards often hide their kills?,in dense vegetation,Dense vegetation or trees
How did early naturalists distinguish between leopards and panthers?,by the length of their tails,By their names and physical characteristics.
What are dark leopards known as colloquially?,Black Panthers,Black Panthers
What shape are a leopard's black roS08_settes in East Africa?,circular,Not specified
Is the leopard an Old World mammal?,yes,Yes.
Is the leopard of the Felidae family?,yes,Yes.
Is the leopard one of the four 'big cats'?,yes,Yes.
Where is the leopard distributed?,southern Eurasia and Africa,India
How long is a leopard's tail?,60 to 110cm,60 to 110 cm
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,"37 to 90 kg for males, 28 to 60 kg for females"
Does a male leopard weigh more than a female leopard?,yes,Yes.
What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.,"Leopards have rosettes, while cheetahs have simple spots."
How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",Largest
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role,Gray wolf
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,Felis pardus
What sort of cats are solitary?,Leopards,Leopards
Are leopards circular?,No,No.
Is the leopard solitary?,Yes,Yes.
What centred in Sierra?,The leopard men,Vaduz
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae",A species described in Linnaeus's work
Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,Yes.
Were the Leopard men a West African secret society who practised cannibalism ?,Yes,Yes.
Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,Yes.
Is the black color heritable and caused by only one recessive gene locus ?,Yes,Yes.
"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,Yes.
Can a panther be any of several species of large felid?,Yes,Yes.
Is the leopard an agile and graceful predator?,Yes,Yes.
Is Liechtenstein bordered by Switzerland?,Yes,Yes.
Is Liechtenstein the smallest German-speaking country in the world?,Yes,No.
Was Liechtenstein part of the ancient Roman province of Raetia?,Yes,Yes.
When was the first factory opened?,1836,1836
How many municipalities is Liechtenstein divided into?,11,11
What is the national currency of Liechtenstein?,Swiss franc,Swiss franc
Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes,Yes.
What company administers Leichtenstein's railways?,Austrian Federal Railways,Austrian Federal Railways
What percentage of Liechtenstein's population is foreign-born?,two-thirds,Approximately one third
Is there an airport in Liechtenstein?,No.,No
Is Liechtenstein heavily urbanized?,No.,No
Is Liechtenstein doubly landlocked?,Yes.,Yes
Does Liechtenstein have an army?,No.,No
When was Liechtenstein's current constitution adopted?,October 1921.,October 1921
What is the official language of Liechtenstein?,German.,German
What countries border Liechtenstein?,Switzerland and Austria.,Switzerland and Austria
What Roman province was Liechtenstein part of?,Raetia.,Raetia
How many municipalities are within Oberland?,6.,Five
What is the smallest German-speaking country in the world?,Liechtenstein,Liechtenstein
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861,1861
What enjoys one of the world's highest standards of living?,Liechtenstein's population,Singapore
Does the state court rule on the conformity of laws?,Yes,Yes.
What do most recognizable international company and largest employer have in common?,They are Hilti.,Both are companies from Liechtenstein.
Was Liechtenstein completed in November 2000?,No,No.
What completed in November?,the Kunstmuseum Liechtenstein,The State of the Union Address
The State Court rules what?,on the conformity of laws with the constitution,Conformity of laws with the constitution.
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,Preserving culture and history
Is the museum collection also the national art collection of Liechtenstein ?,Yes,Yes
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,Yes.
Are nationals referred to by the plural : Liechtensteiners ?,Yes,Yes
"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes,Yes
Is it a winter sports resort?,Yes,No.
Is it the smallest german-speaking country in the world?,Yes,Yes.
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land,The Liechtenstein dynasty acquired vast swathes of land.
"Did Webster write, ""I can now sleep of nights""?",Yes.,Yes.
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,Yes.
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes,Yes.
Who got Seward elected to the senate?,Weed,Thurlow Weed
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan,"To open Japan to Western trade, Commodore Matthew C. Perry was sent to Japan."
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.,A fake biography
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.,Before he founded the private University of Buffalo.
Did Fillmore run for President a second time?,Yes,No.
How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?,Two years
Was Millard Fillmore the thirteenth President of the United States?,yes,Yes.
"Was Millard Fillmore born on January 7, 1800?",yes,No
"Did Millard Fillmore die on March 8, 1974?",no,No
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York","Summerhill, New York"
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore,Nathaniel and Phoebe Millard
Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers,Caroline McIntosh
What did Taylor and Fillmore disagree upon?,slavory issues,Slavery in the new western territories
How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor",Upon the death of Zachary Taylor
How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him,Angered
Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore,Fillmore
He founded the private university of buffalo on what date?,1846,"May 11, 1846"
Who or what fell in love with abigail powers?,millard fillmore,John Quincy Adams
Was Fillmore one of the founders of the University of Buffalo?,yes,Yes.
Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes,Yes.
"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no,No.
Is Fillmore the first of two presidents to have been an indentured servant ?,yes,Yes.
Is the comic strip Mallard Fillmore named after the president ?,yes,Yes.
Was Fillmore the first U.S. President born after the death of a former president ?,yes,Yes.
"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no,No
"What happened in a log cabin in summerhill , new york?",Fillmore was born,No information provided.
"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla,Nikola Tesla
Are there at least two films describing Tesla 's life ?,Yes.,Yes.
Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.,Yes.
Do sea otters have long muscular tails?,no,Yes.
Can otters survive in cold water?,yes,Yes.
Does the giant otter inhabit South Africa?,no,No
How many species of otter are there?,13,13
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds","Fish, frogs, crayfish, crabs, small land mammals, and birds."
How much do sea otters weigh?,30 kg (about 65 pounds),30 kg (about 65 pounds)
How do sea otters insulate themselves?,a layer of air trapped in their fur(!),By trapping air in their fur and blowing into it from their mouths.
Why are sea otters nearly extinct?,They've been hunted for their fur,Hunting for their fur
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths,Roadkill deaths
Is otter a kind of mammal?,yes,Yes.
How many species and genera does otter have?,13 species and 7 genera,13 species in 7 genera
Do otters live in water?,yes,Yes.
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. ,Along the Pacific coast of North America.
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. ","Old English word ""otr"", ""otor"" or ""oter"""
Does otter give birth or lay egg?,give birth,No
What drives sea otter almost to extinction?,Humans hunted them almost to extinction. ,Hunting for their rich fur.
Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. ",Cultural significance.
Do sea otters live along the Pacific coast?,Yes,Yes
Are otters totem animals?,Yes,Yes.
Are otters herbivores?,No,No.
What is the primary item in an otter's diet?,Fish.,Fish
What is an otter's den called?,Holt,Holt
Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  ","Poaching, habitat loss, and illegal mining"
How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  ,By trapping a layer of air in their fur.
How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  ",Sliding down snowy slopes
What animals are related to otters?,"weasels, polecats, and badgers","Weasels, polecats, badgers, and others"
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair,Long guard hair
The collective noun romp is sometimes used for a group of what?,Otters,Otters
Is it true that otters eat a variety of fish?,yes,Yes.
Are otters playful animals?,yes,Yes.
Are otters very active?,yes,Yes.
Are male otters dog-otters?,yes,No.
An otter 's den is what?,A holt,holt
Sea otters eat what?,Shellfish and other invertebrates,"Shellfish, invertebrates, fish, frogs, crayfish, crabs, small mammals, and birds"
Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?,yes,Yes.
"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes,Yes.
Is an otter 's den called a holt ?,yes,Yes.
"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes,Yes
Do penguins feed on krill?,yes,Yes.
What is the largest living species of penguin?,Emperor Penguin,Emperor Penguin (Aptenodytes forsteri)
Do penguins live almost exclusively in the Southern Hemisphere?,yes,Yes.
"What is ""tobogganing""?",when penguins slide on their bellies across the snow,No information provided.
Why are penguins countershaded?,for camouflage,Camouflage
Are penguins afraid of humans?,no,No
How much time to penguins spend on land?,half of their life,Not specified.
How many species of penguins are there?,between 17 and 20 living species,17 to 20
How are Isabelline penguins different from most penguins?,they have brown rather than black plumage,They have brown rather than black plumage.
Are penguins birds?,yes,Yes.
Do penguins have a better than average sense of hearing for birds?,yes,Yes.
"Are penguins considered ""higher waterbirds""?",yes,Yes.
What order do penguins belong to?,Sphenisciformes,Sphenisciformes
How tall were the tallest prehistoric penguins?,1.80 meters,6 ft
What makes penguins so agile in the water?,Their wings have become flippers,A layer of air preserved within their smooth plumage ensures buoyancy.
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly,To conserve energy while moving quickly.
Who spend half of their life on land and half in the oceans?,Penguins,Sea otters
What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters,3 meters (9 ft)
"What have become flippers, useless for flight in the air?",Penguins' wings,Wings
What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick.","They sometimes attempt to ""steal"" another mother's chick."
Is it true that each penguin gets a turn in the center?,Yes,Yes.
Are all penguins countershaded?,Yes,Yes.
Are penguins astonishingly agile?,In the water they are.,Yes.
Are penguins at risk?,Yes,Yes.
"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes,Yes
Have penguins an average sense of hearing for birds ?,Yes,Yes
Can larger penguins dive deep in case of need ?,Yes,Yes.
"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes,Yes.
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,Yes.
Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,Yes.
"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes,Yes.
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.,No evidence provided.
What is the last word on the page?,Connecticut,None
Is polar bear a mammal?,Yes,Yes.
Is polar bear a carnivore?,Yes,Yes.
What is largest polar bear on record?,2200 lb,"Male weighing 1,992 kg (4,400 lb)"
What is polar bear's skin color?,white or cream,Black
How long is polar bear's guard hair?,5-15 cm,5-15 cm
What is cause of polar bear's skin diseases?,mites or other parasites,Mites or other parasites
Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced.","Camouflage, insulation, swimming adaptation"
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.,"Fossil and DNA evidence tell us that the evolutionary history of penguins is well-researched, representing a showcase of evolutionary biogeography, and the evolution of the living genera is considered resolved. However, the alpha taxonomy of many prehistoric forms still leaves much to be desired, and the ancestry of penguins beyond Waimanu remains unknown and not well resolved by molecular or morphological analyses. Different DNA sequence datasets do not agree in detail with each other either."
Does a polar bear live in the Arctic?,yes,Yes.
Is a polar bear white in color?,yes,Yes.
Is a polar bear at high risk of extinction?,yes,Yes.
How heavy is a male polar bear?,300-600 kg (660-1320 lb),350-600 kg (770-1320 lb)
How heavy was the largest polar bear on record?,1002 kg (2200 lb) ,1002 kg (2200 lb)
What does a polar bear's fur provide?,It provides the animal with effective camouflage.,Camouflage and insulation
Do female polar bears weight more than the male?,no,No.
How much weight do female polar bears gain during pregnancy?,They gain double their weight.,Double their body weight
Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.,Yes.
What is actually black in color?,A polar bear's skin.,True black leopards
What insulate it against the cold?,Its think blubber and fur.,Feathers and fur
What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.,Database entry
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,They filed a lawsuit.
Are studies insufficient evidence for global protection?,It is arguable.,Yes.
Are polar bears excellent swimmers?,yes,Yes.
"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",A 12 cm (5 in) layer of fat
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba.","Recycled or transported to Thompson, Manitoba."
The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,Consume hazardous substances
Is the Polar Bear the mascot of Bowdoin college ?,yes,Yes.
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes,Yes.
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no,No
Are Cubs born in December without awakening the mother ?,yes,Yes.
Does Qatar rank as the eighth richest country in the world per capita?,No.,No.
Do nearly all Qataris profess Islam?,Yes.,Yes
Can women legally drive in Qatar?,Yes.,Yes.
When did Qatar become an independent state?,"September 3, 1971.","September 3, 1971"
Where is Qatar's telecommunication system centered?,Doha.,Doha
Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.,Doha Players Theatre
Does the native pronunciation of Qatar sound like 'cutter'?,Yes.,No.
What is the Arabic word for municipalities?,baladiyah.,baladiyah
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.","Qatar University, Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, Cornell University's Weill Medical College, Northwestern University, Qatar Science & Technology Park, Qatar Academy, College of the North Atlantic, University of Calgary."
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.,The request to negotiate with a representative from Qatar.
Qatar became an independent sovereign state in what year?,"On September 3, 1971.",1971
"What consists of a low, barren plain, covered with sand?",Much of the country.,Qatari peninsula
How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.,Influence and transformation
Was Qatar University founded in 1973?,Yes,Yes.
Is Qatar bordered by Saudi Arabia to the south?,Yes,Yes.
What bordered by Saudi?,Qatar,Southwest Asia
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.,Qatar
Has Qatar a modern Telecommunication system centered in Doha ?,Yes,Yes.
Was Qatar University founded in 1973 ?,Yes,Yes.
"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes,No.
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes,Yes.
"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes,Yes.
What happened in these positions in english?,These allophones cannot occur there.,"The wolf's tail is horizontal and straight when it is tensed while hunting. The Romanian people, unlike others, only have the Holy Spirit within their language. They took from the Jewish, Greek, and Serbian languages before having their own Romanian language. Moses' five books and four letters were burned, and his voice was heard by Romanian people. The Palia of Oradea (1581-1582) was written in Bucharest in 1968."
Can these allophones not occur in these positions in english?,yes,No.
"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes,Yes
Does Romania border Hungary?,Yes.,Yes.
Is Romania a secular state?,Yes.,Yes.
Is the president elected by popular vote?,Yes.,No.
How many counties is Romania divided into?,41.,41
What is the highest mountain in Romania?,Moldoveanu Peak.,Moldoveanu Peak
What is the official language of Romania?,Romanian.,Romanian
Is the Romanian economy doing well?,Yes.,Yes.
Are there many Roma in Romania?,No.,Yes.
How many territories joined to form Romania?,2.,Four
Does Romania share a border with Ukraine?,yes,Yes.
Did Romania declare neutrality during World War I?,yes,Yes.
Does Romania share the same language with Moldova?,yes,Yes.
"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci,Nadia ComanÄci
What is the largest city in Romania?,Bucharest,Bucharest
What is the largest ethnic minority in Romania?,Hungarians,Hungarians
How many countries in Europe are bigger than Romania?  ,eleven,None
Why doesn't Romania have a state religion?  ,Romania is a secular state,Romania is a secular state.
Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum,Pressure from Moscow and Berlin.
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007,2007
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human,The remains of the oldest modern human in Europe.
"Is it true that romania has a population of 21,698,181?",Yes,Yes.
What do economy and law have in common?,(not sure how to answer this),Regulation and governance
What did Tourism in Romania attract in 2005?,investments worth 400 million euros,Investments worth 400 million euros
Is Romania a semi-presidential unitary state?,Yes,Yes.
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes,Yes.
Was Gellu Naum the leader of the surrealist movement in Romania ?,Yes,Yes.
Was the Bucharest Metro only opened in 1979 ?,Yes,Yes.
"Is romania -LRB- , -RRB- a country in southeastern europe?",Yes,Yes.
Is romania a semi-presidential unitary state?,Yes,Yes.
Do singaporeans enjoy squid?,"Yes, they do.",Yes.
Did Singapore's standard of living decrease since independence?,"No, the standard living was raised.",No.
Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001.",No
How many people use the bus network daily?,More than 2.78 million people.,More than 2.78 million people
Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands.",South-east part of the river mouth
What is the MRT?,One of three heavy rail passenger transport lines in Singapore.,Mass Rapid Transit (MRT)
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.,Tropical rainforest climate with high humidity and abundant rainfall.
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. ,3%
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,Six days
Is Singapore located at the southern tip of the Korean Penisula?,no,No.
Is Singapore a city-state?,yes,Yes.
Has Sang Nila Utama visited Singapore?,yes,No.
"What does ""singa"" mean?",lion,Lion
When is the first record of S08_settlement in Singapore?,second century AD,Second century AD
Which nation invaded Singapore during World War II?,Japan,Japan
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days,Defeat
Was Lee Kuan Yew a successful leader of Singapore?,yes,Yes.
When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister.",1990
What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.,Rainfall collected in reservoirs or catchment areas
What is the national language of Singapore?,The national language of Singapore is Malay.,Malay
Where is the National Orchid Garden?,Singapore Botanic Gardens.,Singapore Botanic Gardens
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",Trade and regional cooperation.
What is the most densely populated independent country in the world?,Monaco,Indonesia
Who did Sir Thomas Stamford Raffles work for?,British East India Company,The British East India Company
When was Lee Kuan Yew prime minister of Singapore?,1959,1959-1990
What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.,Capital punishment
